Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
2022-03-09,21:00 (15:00),Champions Lg,Round of 16,Wed,Home,W,3,1,fr Paris S-G,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,1,4,25.0,8,5,25.0,29.8,3,66.7,54.7,1,0,0.0,0,12.0,Match Report
2022-03-14,21:00 (16:00),La Liga,Matchweek 28,Mon,Away,W,3,0,Mallorca,3,0,3,100.0,1,0.6,+0.6,0,0,0,0,4,8,50.0,15,6,20.0,33.9,8,62.5,55.3,14,2,14.3,1,18.5,Match Report
2022-03-20,21:00 (16:00),La Liga,Matchweek 29,Sun,Home,L,0,4,Barcelona,10,4,6,60.0,0,3.8,-0.2,0,0,0,0,0,5,0.0,27,2,14.8,30.4,3,33.3,28.7,2,0,0.0,0,13.5,Match Report
2022-04-02,18:30 (12:30),La Liga,Matchweek 30,Sat,Away,W,2,1,Celta Vigo,5,1,3,80.0,0,2.5,+1.5,0,0,0,0,4,6,66.7,15,5,26.7,37.1,6,33.3,33.0,16,0,0.0,0,9.0,Match Report
2022-04-06,20:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,W,3,1,eng Chelsea,5,1,4,80.0,0,1.5,+0.5,0,0,0,0,2,18,11.1,41,2,24.4,31.9,10,80.0,59.7,8,1,12.5,0,6.6,Match Report
2022-04-09,21:00 (15:00),La Liga,Matchweek 31,Sat,Home,W,2,0,Getafe,0,0,0,,1,0.0,0.0,0,0,0,0,2,4,50.0,20,2,10.0,27.8,3,66.7,55.7,4,0,0.0,0,18.0,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,7,3,4,57.1,0,2.1,-0.9,0,0,0,0,4,24,16.7,42,4,38.1,40.9,10,80.0,68.8,8,0,0.0,0,9.0,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,2,2,0,0.0,0,1.3,-0.7,0,0,0,0,2,8,25.0,32,7,21.9,31.9,5,20.0,24.4,11,2,18.2,2,13.4,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,2,1,1,50.0,0,1.6,+0.6,0,0,0,0,3,12,25.0,26,4,30.8,31.9,7,57.1,47.3,8,0,0.0,1,13.0,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,5,4,1,20.0,0,2.4,-1.6,0,0,0,0,5,22,22.7,37,7,45.9,41.9,6,83.3,53.7,6,1,16.7,0,12.8,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,6,0,6,100.0,1,0.8,+0.8,0,0,0,0,1,3,33.3,24,4,4.2,22.3,9,22.2,28.7,12,0,0.0,0,6.5,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,9,1,8,88.9,0,1.4,+0.4,0,0,0,0,8,27,29.6,50,3,44.0,42.1,6,83.3,68.7,11,1,9.1,1,14.0,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,1,1,1,100.0,0,0.9,-0.1,1,1,0,0,8,9,88.9,30,7,10.0,23.5,15,40.0,31.1,7,0,0.0,0,11.2,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,1,0,1,100.0,1,0.0,0.0,0,0,0,0,6,8,75.0,23,1,21.7,28.0,10,30.0,32.8,5,1,20.0,0,18.5,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,6,1,5,83.3,0,2.8,+1.8,1,0,1,0,1,7,14.3,27,6,14.8,24.6,10,30.0,29.2,18,1,5.6,0,8.5,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,4,4,100.0,29,11,10.3,23.7,8,12.5,23.6,6,0,0.0,0,10.4,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,9,0,8,100.0,1,3.5,+3.5,0,0,0,0,9,29,31.0,42,8,52.4,44.1,10,70.0,55.9,10,2,20.0,0,12.9,Match Report
,,,,,,39-8-9,119,50,,210,50,162,77.6,22,56.7,+11.7,7,3,4,0,179,500,35.8,1421,266,25.3,32.0,303,46.2,41.1,429,35,8.2,28,14.2,
