Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2022-04-12,21:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,L,2,3,eng Chelsea,3,28,7,25.0,0.11,0.43,17.6,0,0,0,1.9,1.9,0.07,+1.1,+1.1,Match Report
2022-04-17,21:00 (15:00),La Liga,Matchweek 32,Sun,Away,W,3,2,Sevilla,2,7,2,28.6,0.29,1.00,13.9,1,0,0,1.2,1.2,0.16,+0.8,+0.8,Match Report
2022-04-20,21:30 (15:30),La Liga,Matchweek 33,Wed,Away,W,3,1,Osasuna,1,12,2,16.7,0.08,0.50,20.0,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Match Report
2022-04-26,20:00 (15:00),Champions Lg,Semi-finals,Tue,Away,L,3,4,eng Manchester City,4,16,5,31.3,0.25,0.80,14.2,1,0,0,2.7,2.7,0.18,+1.3,+1.3,Match Report
2022-04-30,16:15 (10:15),La Liga,Matchweek 34,Sat,Home,W,4,0,Espanyol,0,20,6,30.0,0.00,0.00,19.1,1,0,0,1.6,1.6,0.08,-1.6,-1.6,Match Report
2022-05-04,21:00 (15:00),Champions Lg,Semi-finals,Wed,Home,W,3,1,eng Manchester City,1,15,9,60.0,0.07,0.11,17.3,1,0,0,1.6,1.6,0.11,-0.6,-0.6,Match Report
2022-05-08,21:00 (15:00),La Liga,Matchweek 35,Sun,Away,L,0,1,Atlético Madrid,1,15,1,6.7,0.00,0.00,19.3,0,1,1,2.9,2.1,0.14,-1.9,-2.1,Match Report
2022-05-12,21:30 (15:30),La Liga,Matchweek 36,Thu,Home,W,6,0,Levante,0,16,1,6.3,0.00,0.00,22.1,2,0,0,1.3,1.3,0.08,-1.3,-1.3,Match Report
2022-05-15,19:30 (13:30),La Liga,Matchweek 37,Sun,Away,D,1,1,Cádiz,1,21,6,28.6,0.05,0.17,17.9,1,0,1,2.5,1.8,0.09,-1.5,-0.8,Match Report
2022-05-20,21:00 (15:00),La Liga,Matchweek 38,Fri,Home,D,0,0,Betis,0,11,2,18.2,0.00,0.00,19.7,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Match Report
2022-05-28,21:30 (15:30),Champions Lg,Final,Sat,Away,W,1,0,eng Liverpool,0,24,9,37.5,0.00,0.00,17.1,0,0,0,2.4,2.4,0.10,-2.4,-2.4,Match Report
,,,,,,9-8-39,119,50,,50,704,213,30.3,0.07,0.22,17.7,21,3,7,66.1,61.4,0.10,-16.1,-14.4,
